Date,BTC,ETH,LTC,XRP,USDT
2021-01-01,29374.15188907,730.36756913,126.23034575,0.23744438,1.00191574
2021-01-02,32127.26793922,774.53496804,136.94489094,0.22165492,1.0006002
2021-01-03,32782.02446581,975.50767291,160.19058561,0.22584819,1.00051411
2021-01-04,31971.91352155,1040.23304833,154.80732008,0.23667712,1.00012776
2021-01-05,33992.42934365,1100.00609944,158.59477629,0.22675012,1.00220227
2021-01-06,36824.36441009,1207.11223389,169.01692345,0.25089517,1.00152781
2021-01-07,39371.04235311,1225.67813488,169.61595798,0.32600198,1.00040027
2021-01-08,40797.61071993,1224.19714489,173.27987445,0.32322959,1.00004467
2021-01-09,40254.54649816,1281.07729102,177.4839356,0.32691622,1.00294675
2021-01-10,38356.43950662,1262.24666381,171.11484357,0.31833641,1.00022348
2021-01-11,35566.65594049,1090.14537315,139.25223125,0.28890503,1.000587
2021-01-12,33922.9605815,1043.43458391,132.63591652,0.29212313,1.0004137
2021-01-13,37316.35939997,1130.73940242,147.42134739,0.30557979,1.00001738
2021-01-14,39187.32812109,1218.45297846,152.08457372,0.29543791,0.99896425
2021-01-15,36825.36585131,1171.83461074,144.23754971,0.2804055,0.9998454
2021-01-16,36178.13890106,1233.53756838,144.26541965,0.28018836,1.00019482
2021-01-17,35791.27792129,1230.17227237,142.43082129,0.27738365,1.00041395
2021-01-18,36630.07568284,1257.27950247,152.14408514,0.28476919,1.00080354
2021-01-19,36069.80639361,1377.29584154,153.48742764,0.2943137,1.00043557
2021-01-20,35547.7508855,1382.27409433,149.93142516,0.29651801,1.00068566
2021-01-21,30825.69850603,1121.57091957,130.13350488,0.26894641,0.99969564
2021-01-22,33005.76356216,1236.51220729,137.27145938,0.27279859,1.00134975
2021-01-23,32067.64288212,1230.99063605,137.75099018,0.27182148,1.00055499
2021-01-24,32289.37808687,1391.60940757,141.47731078,0.2735085,1.00141652
2021-01-25,32366.39304887,1324.414778,137.44420046,0.26908877,0.99997087
2021-01-26,32569.84955679,1357.0581398,134.75526433,0.26882663,1.00108122
2021-01-27,30432.54707881,1253.18713315,122.94947331,0.25194347,1.0017644
2021-01-28,33466.09635821,1332.49224455,133.48693077,0.26412208,1.0015432
2021-01-29,34316.38765032,1382.52281244,135.01257048,0.28218765,1.00048592
2021-01-30,34269.52154165,1376.11553895,133.40001778,0.44024444,1.00124331
2021-01-31,33114.35774753,1314.9862286,129.5708153,0.49231408,1.00080766
2021-02-01,33537.1768196,1369.04046855,131.95193202,0.37150866,1.00064511
2021-02-02,35510.28903716,1515.19376962,142.50697498,0.36927,1.00142744
2021-02-03,37472.09010368,1660.909542,155.61203291,0.39348981,1.00101337
2021-02-04,36926.06446515,1594.76269414,145.14818702,0.4464491,1.00080374
2021-02-05,38144.30686267,1718.65087218,154.85221567,0.45004704,1.00013137
2021-02-06,39266.01073494,1677.84684697,155.71474239,0.43909568,1.00112928
2021-02-07,38903.44147971,1614.22782334,151.14007922,0.41795756,1.0012114
2021-02-08,46196.46371944,1746.61684904,167.21905755,0.447702,1.00104401
2021-02-09,46481.10423596,1768.03501655,182.1144683,0.47199055,1.00123164
2021-02-10,44918.18449192,1744.24343196,182.1743915,0.5034453,1.00072171
2021-02-11,47909.33119483,1783.79795026,184.49599958,0.52478651,1.00036728
2021-02-12,47504.85118326,1843.53258814,197.23171013,0.60859231,1.00169203
2021-02-13,47105.51747252,1814.10985253,226.22760116,0.62899615,1.00082786
2021-02-14,48717.2902111,1805.08404652,214.430273,0.5941931,1.00074601
2021-02-15,47945.05683234,1779.79097807,207.68101945,0.54891537,1.0002501
2021-02-16,49199.87134362,1781.06747722,210.5465771,0.52084597,1.00040306
2021-02-17,52149.00753587,1848.4582725,236.97352307,0.53553723,1.00037046
2021-02-18,51679.79669449,1937.44925643,226.86954839,0.5324331,1.00001932
2021-02-19,55888.13368221,1960.16474353,236.67601167,0.56701857,1.0002009
2021-02-20,56099.52051348,1919.5340028,227.61989221,0.51751221,1.0000679
2021-02-21,57539.9436679,1935.60106022,227.23135545,0.54856014,1.00033184
